Airline,Departure Time,Departure Airport,Arrival Time,Arrival Airport,Flight Duration,Stops,Price
IndiGo,13:00,New Delhi,20:25,Dubai,8h 55m,1 Stop,7328800
Air India,15:30,New Delhi,21:55,Dubai,7h 55m,1 Stop,7542700
Air India,10:55,New Delhi,18:15,Dubai,8h 50m,1 Stop,7549500
Flynas,04:10,New Delhi,17:15,Sharjah,38h 35m,2 Stops,7734300
Flynas,04:10,New Delhi,17:15,Sharjah,38h 35m,2 Stops,7774800
Flynas,04:10,New Delhi,17:15,Sharjah,14h 35m,2 Stops,7775200
Srilankan Airlines,18:35,New Delhi,10:15,Sharjah,17h 10m,2 Stops,7798000
Flynas,04:10,New Delhi,17:15,Sharjah,38h 35m,2 Stops,7889100
Flynas,04:10,New Delhi,17:15,Sharjah,38h 35m,2 Stops,8012500
Flynas,04:10,New Delhi,17:15,Sharjah,38h 35m,2 Stops,8073900
Qatar Airways,03:40,New Delhi,10:20,Dubai,8h 10m,1 Stop,8086800
Qatar Airways,03:40,New Delhi,20:55,Dubai,18h 45m,1 Stop,8109400
Flynas,04:10,New Delhi,17:15,Sharjah,38h 35m,2 Stops,8156900
Flynas,04:10,New Delhi,17:15,Sharjah,38h 35m,2 Stops,8309300
Singapore Airlines,22:00,New Delhi,18:45,Dubai,22h 15m,1 Stop,9303300
Egyptair,11:20,New Delhi,03:45,Dubai,17h 55m,1 Stop,10473800
Egyptair,11:20,New Delhi,15:00,Dubai,29h 10m,1 Stop,10487300
Egyptair,11:20,New Delhi,19:00,Dubai,33h 10m,1 Stop,12006300
Egyptair,11:20,New Delhi,01:50,Sharjah,16h 00m,1 Stop,12121100
Qatar Airways,03:40,New Delhi,10:15,Sharjah,8h 05m,1 Stop,12821700
Qatar Airways,03:40,New Delhi,20:25,Sharjah,18h 15m,1 Stop,12844300
Srilankan Airlines,18:35,New Delhi,15:55,Sharjah,22h 50m,2 Stops,13531500
Srilankan Airlines,18:35,New Delhi,20:25,Sharjah,27h 20m,2 Stops,15190500
Srilankan Airlines,18:35,New Delhi,20:25,Sharjah,27h 20m,2 Stops,15213100
